url,title,play,user
/playlist?id=2829883282,[华语私人订制] 最懂你的华语推荐 每日更新35首,52567万,网易云音乐
/playlist?id=5366242296,每天都在崩溃与自愈中期待变得更好啊,14万,真爱喝柠檬茶
/playlist?id=2618915549,你搜不到的土嗨神曲,9587万,孤单又灿烂的神丨鬼怪
/playlist?id=3088403692,中国摇滚30年图鉴：永远年轻 永远热泪盈眶,1114万,宁遇夏
/playlist?id=3080165816,【纯音乐】温柔治愈系纯音乐,794万,你今天真真真好看
/playlist?id=5198528623,说唱新世代||W8VES（未完待续）,46万,是谁又偷懒了
/playlist?id=4946368509,是你的垚/刘大壮/王小帅/王泽科,722万,小攀哟
/playlist?id=2715933347,精选｜Cover的那些循环歌曲,6565万,情感文字君
/playlist?id=2882042971,迷 人 嗓 音,688万,今晚磕到死
/playlist?id=5321532436,刘大壮/是你的垚/王泽科/王巨星/王小帅,247万,旺仔不是牛奶ovo-
/playlist?id=4886872766,偶尔动情记得醒,122万,恨禁
/playlist?id=3050189724,你才多大，就开始不相信爱情了,132万,长夜看海
/playlist?id=2918766270,国产HIPHOP 这一个歌单就够了,918万,一泽万EZ
/playlist?id=3011619524,走开，我占有欲太强了,135万,长夜看海
/playlist?id=5029989293,我在银河便利店，想给你的星球寄一封信,61万,盼你温柔
/playlist?id=3039496128,100种民谣女声 带你去感受星辰万物,971万,宁遇夏
/playlist?id=3084306961,台剧 | 想见你 电视原声带,425万,渝曉曉
/playlist?id=5023733422,『说唱新世代』全收录,133万,小薛鸭鸭
/playlist?id=2847841459,写作业时听的歌/刷题歌单.,389万,春櫻野奈
/playlist?id=4912458725,【民谣】安静的听歌♥安静的想你,341万,SG丶我叫张坏坏
/playlist?id=3214584675,篮球巨星科比，再见,335万,Gotnofears_ShowLo
/playlist?id=2959254385,世界最强Flow最炸说唱集合体,922万,akaalaala
/playlist?id=5206444057,说唱新世代 『同步更新』,114万,AzR_Teli
/playlist?id=5310854459,你和别人炫耀过他吗,141万,韩羡Y
/playlist?id=5128390910,小破站『说唱新世代』第一季歌单完结,94万,玉米地之歌
/playlist?id=5086089333,时光与念想：你是他人无法比拟的糖,358万,大肥猫好可爱哟
/playlist?id=3121760389,国风说唱 | 侠客少年江湖行,100万,远房小姑
/playlist?id=5055874943,高考加油：星光不问赶路人 岁月不负有心人,186万,可你怎么总是忘记我很爱你
/playlist?id=2771839415,隔壁老樊与解忧邵帅,796万,小道先森
/playlist?id=2849230282,说唱伴奏丨FREE BEAT免费伴奏FREEBEAT,43万,1t在打工
/playlist?id=2961160477,享受說唱flow狂轟亂炸,394万,门三爱吃馕包肉
/playlist?id=4909785318,♥︎Rap BEAT♥︎——【说唱伴奏】CHILL,266万,KIND_CQ
/playlist?id=2965476076,高质量中文rap☞甜甜的说唱情歌(持续更新）,221万,Hell_killer
/playlist?id=5201032294,说唱新世代 每首我都爱（持更...),125万,ZiJianHan
/playlist?id=4926388301,酷中带甜 | Rapper旋律说唱,130万,芙木2046
/playlist?id=5086103686,女孩子少一点胡思乱想就多一份快乐,357万,大肥猫好可爱哟
/playlist?id=5194817810,晚安 | 醒来后再胡搅蛮缠的一切都亮了起来,283万,空气很颓废
/playlist?id=5196798457,说唱新世代（说唱新时代）,169万,molan-
/playlist?id=4869164805,私藏 | 值得循环的Cover合集,910万,她的水彩笔
/playlist?id=3029911353,那些10w热评的中文歌,83万,我鲁班不坑
/playlist?id=5305573963,Rapper的浪漫，没人顶得住！,207万,云音乐歌单之友
/playlist?id=2602222983,精选 | 网络热歌分享,49956万,情感文字君
/playlist?id=3184705942,神仙翻唱：超好听的男生翻唱集鸭,808万,小攀哟
/playlist?id=5073782181,所有好运都会与你撞个满怀,217万,大肥猫好可爱哟
/playlist?id=3029459640,「旋律hiphop 」私人定制,911万,嘻哈收音机
/playlist?id=5237416818,中国新生代 | 那些崛起的说唱后浪们,46万,薛定谔的缝纫机
/playlist?id=5127413460,超好听的 翻唱+原创（热歌）,77万,抖音兵权
